,precision,recall,f1-score,support
I,0.0,0.0,0.0,31.0
R,0.8533333333333334,0.9411764705882353,0.8951048951048951,136.0
S,0.9228650137741047,0.9682080924855492,0.9449929478138223,346.0
accuracy,0.9025341130604289,0.9025341130604289,0.9025341130604289,0.9025341130604289
macro avg,0.5920661157024794,0.6364615210245949,0.6133659476395724,513.0
weighted avg,0.8486639923960498,0.9025341130604289,0.8746624282219263,513.0
