,precision,recall,f1-score,support
I,0.0,0.0,0.0,69.0
R,0.9230769230769231,0.6442953020134228,0.758893280632411,149.0
S,0.7090464547677262,0.9830508474576272,0.8238636363636364,295.0
accuracy,0.7524366471734892,0.7524366471734892,0.7524366471734892,0.7524366471734892
macro avg,0.5440411259482164,0.54244871649035,0.5275856389986825,513.0
weighted avg,0.6758424282552452,0.7524366471734892,0.6941810361432786,513.0
