,precision,recall,f1-score,support
Non-R,0.7192118226600985,0.6854460093896714,0.7019230769230769,213.0
R,0.7838709677419354,0.81,0.7967213114754098,300.0
accuracy,0.7582846003898636,0.7582846003898636,0.7582846003898636,0.7582846003898636
macro avg,0.751541395201017,0.7477230046948358,0.7493221941992434,513.0
weighted avg,0.7570241882050324,0.7582846003898636,0.7573606409887687,513.0
