,precision,recall,f1-score,support
Non-R,0.0,0.0,0.0,134.0
R,0.6763285024154589,1.0,0.8069164265129684,280.0
accuracy,0.6763285024154589,0.6763285024154589,0.6763285024154589,0.6763285024154589
macro avg,0.33816425120772947,0.5,0.4034582132564842,414.0
weighted avg,0.45742024317953744,0.6763285024154589,0.5457405783179496,414.0
