,precision,recall,f1-score,support
I,0.0,0.0,0.0,69.0
R,0.8376623376623377,0.8657718120805369,0.8514851485148515,149.0
S,0.7855153203342619,0.9559322033898305,0.8623853211009175,295.0
accuracy,0.8011695906432749,0.8011695906432749,0.8011695906432749,0.8011695906432749
macro avg,0.5410592193321998,0.6072346718234558,0.5712901565385896,513.0
weighted avg,0.6950072277003811,0.8011695906432749,0.7432260367514298,513.0
