,precision,recall,f1-score,support
Non-R,0.882051282051282,0.9502762430939227,0.9148936170212766,362.0
R,0.8536585365853658,0.695364238410596,0.7664233576642335,151.0
accuracy,0.8752436647173489,0.8752436647173489,0.8752436647173489,0.8752436647173489
macro avg,0.8678549093183239,0.8228202407522593,0.8406584873427551,513.0
weighted avg,0.8736939632104374,0.8752436647173489,0.8711918447738818,513.0
