,precision,recall,f1-score,support
I,0.0,0.0,0.0,70.0
R,0.0,0.0,0.0,32.0
S,0.8011695906432749,1.0,0.8896103896103896,411.0
accuracy,0.8011695906432749,0.8011695906432749,0.8011695906432749,0.8011695906432749
macro avg,0.26705653021442494,0.3333333333333333,0.29653679653679654,513.0
weighted avg,0.6418727129715126,0.8011695906432749,0.7127287916761601,513.0
