,precision,recall,f1-score,support
Non-R,0.6909090909090909,0.42696629213483145,0.5277777777777778,178.0
R,0.6644736842105263,0.8559322033898306,0.7481481481481481,236.0
accuracy,0.6714975845410628,0.6714975845410628,0.6714975845410628,0.6714975845410628
macro avg,0.6776913875598086,0.641449247762331,0.637962962962963,414.0
weighted avg,0.6758396320181218,0.6714975845410628,0.653399534800501,414.0
