,N,Median Age (IQR),Male (%),Female (%),Countries,Year Range,Respiratory (%),Blood (%)
Haemophilus influenzae,2595,40 (9–63),57.0,42.5,18,2014–2021,91.2,2.8
Streptococcus pneumoniae,2339,27 (4–58),59.5,40.2,18,2014–2021,76.2,13.0
