,precision,recall,f1-score,support
I,0.5827338129496403,0.36,0.44505494505494503,225.0
R,0.0,0.0,0.0,49.0
S,0.4109090909090909,0.8071428571428572,0.5445783132530121,140.0
accuracy,0.46859903381642515,0.46859903381642515,0.46859903381642515,0.46859903381642515
macro avg,0.33121430128624374,0.3890476190476191,0.329877752769319,414.0
weighted avg,0.4556579242534826,0.46859903381642515,0.42603460505503454,414.0
