,precision,recall,f1-score,support
Non-R,1.0,0.8805309734513275,0.9364705882352942,452.0
R,0.5304347826086957,1.0,0.6931818181818182,61.0
accuracy,0.8947368421052632,0.8947368421052632,0.8947368421052632,0.8947368421052632
macro avg,0.7652173913043478,0.9402654867256637,0.8148262032085563,513.0
weighted avg,0.9441647597254004,0.8947368421052632,0.907541514213341,513.0
