,precision,recall,f1-score,support
I,0.0,0.0,0.0,98.0
R,0.16666666666666666,1.0,0.2857142857142857,69.0
S,0.0,0.0,0.0,247.0
accuracy,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
macro avg,0.05555555555555555,0.3333333333333333,0.09523809523809523,414.0
weighted avg,0.027777777777777776,0.16666666666666666,0.04761904761904761,414.0
