Feature,Type,KS_Statistic,KS_p_value,PSI,JS_Divergence,GSK_Mean,SOAR_Mean,Mean_Difference,Conclusion,Chi2_Statistic,Chi2_p_value,GSK_Unique_Count,SOAR_Unique_Count
Age,Numeric,0.27920315567025844,5.371391318690495e-85,0.42480704576158457,0.0505717287541575,27.352036575228595,42.241570805236016,-14.88953423000742,Significant shift,,,,
Region,Categorical,,,10.028041974703617,0.1916806558210331,,,,Significant shift,1430.3810048929367,7.528015597271e-310,1.0,4.0
Country,Categorical,,,39.04967681590263,0.6469636324410566,,,,Significant shift,4607.176744000761,0.0,9.0,10.0
YearCollected,Numeric,1.0,0.0,44.397083904463166,0.693147172561958,2014.9788644840448,2020.1578738595795,-5.179009375534633,Significant shift,,,,
