,precision,recall,f1-score,support
Non-R,0.9416058394160584,0.3932926829268293,0.5548387096774193,328.0
R,0.47074468085106386,0.9567567567567568,0.6310160427807486,185.0
accuracy,0.5964912280701754,0.5964912280701754,0.5964912280701754,0.5964912280701754
macro avg,0.7061752601335611,0.675024719841793,0.592927376229084,513.0
weighted avg,0.7718021077698128,0.5964912280701754,0.5823100676191657,513.0
