,precision,recall,f1-score,support
Non-R,0.6153846153846154,0.11428571428571428,0.1927710843373494,140.0
R,0.6804123711340206,0.9635036496350365,0.797583081570997,274.0
accuracy,0.6763285024154589,0.6763285024154589,0.6763285024154589,0.6763285024154589
macro avg,0.647898493259318,0.5388946819603754,0.4951770829541732,414.0
weighted avg,0.6584223088033039,0.6763285024154589,0.5930572854050292,414.0
