,precision,recall,f1-score,support
Non-R,0.8724489795918368,0.95,0.9095744680851063,360.0
R,0.8512396694214877,0.673202614379085,0.7518248175182481,153.0
accuracy,0.8674463937621832,0.8674463937621832,0.8674463937621832,0.8674463937621832
macro avg,0.8618443245066623,0.8116013071895425,0.8306996428016773,513.0
weighted avg,0.8661233958568203,0.8674463937621832,0.8625263266879731,513.0
