auc,ap,brier,accuracy,f1,mcc,precision,recall,specificity,balanced_accuracy,ppv,npv,antibiotic,best_model,train_size,val_size,test_size,positive_rate,threshold
0.7883352122802942,0.6073649488691885,0.16942965602458057,0.673118799903218,0.674065138721351,0.4793229713998712,0.5188807725640708,0.9616796695731987,0.5167267752767069,0.7392032224249527,0.5188807725640708,0.9613604812586766,Amikacin,RandomForest,39675,9919,12399,0.35148078134845623,0.28277369023041315
0.8878751980552715,0.8829639423756512,0.11481648045095239,0.8610483506552191,0.8216874456364164,0.7272767301614459,0.9443518827057648,0.7272260713369259,0.9662966700302724,0.8467613706835991,0.9443518827057648,0.8183216544180482,Amoxicillin/Clavulanic Acid,XGBoost,28325,7082,8852,0.4402471315092674,0.7651218959817193
0.7647990497872484,0.6519129094376017,0.1777917312303441,0.6348846008323874,0.6066843285102914,0.3434256350081224,0.4824177604926268,0.8171836398572605,0.5390388223408862,0.6781112310990733,0.4824177604926268,0.8486707566462167,Ampicillin,XGBoost,33828,8458,10572,0.34459619250325174,0.28766487797689977
0.9633296262332613,0.9477242996801141,0.029768459682896396,0.9690669371196755,0.9416267942583733,0.9210892256656613,0.9647058823529412,0.9196261682242991,0.9874739039665971,0.9535500360954481,0.9647058823529412,0.9705882352941176,Ampicillin/Sulbactam,RandomForest,6308,1578,1972,0.2709258084971465,0.37104821369139307
0.9175301738553885,0.852311277198933,0.11703024534022825,0.8306519898391194,0.8257839721254355,0.6861431057871169,0.7337461300309598,0.9442231075697212,0.7466863033873343,0.8454547054785277,0.7337461300309598,0.9476635514018692,Aztreonam,XGBoost,3776,945,1181,0.4247881355932203,0.231477422623034
0.7551171673841202,0.3992615581784278,0.12800383179473424,0.7298456260720412,0.47058823529411764,0.33645824836060534,0.3626943005181347,0.6698564593301436,0.7429467084639498,0.7064015838970468,0.3626943005181347,0.9115384615384615,Cefazolin,LogisticRegression,7460,1866,2332,0.17908847184986595,0.18383340198245515
0.8784901615917335,0.7950885777063341,0.08056981829666517,0.9016236867239733,0.7365728900255755,0.6853819744827997,0.8421052631578947,0.6545454545454545,0.9673518742442564,0.8109486643948555,0.8421052631578947,0.91324200913242,Cefepime,RandomForest,3350,838,1047,0.2098507462686567,0.28463074006840594
0.7465659340659341,0.6683726873991195,0.10163951819633052,0.9057971014492754,0.6829268292682927,0.6652586086248746,0.9333333333333333,0.5384615384615384,0.9910714285714286,0.7647664835164836,0.9333333333333333,0.9024390243902439,Cefoxitin,XGBoost,440,111,138,0.18409090909090908,0.3393186545302337
0.5983355978260869,0.7871355754976053,0.1901664448131846,0.6724137931034483,0.7729083665338645,0.18659135140311106,0.7886178861788617,0.7578125,0.43478260869565216,0.596297554347826,0.7886178861788617,0.39215686274509803,Ceftaroline,RandomForest,553,139,174,0.7377938517179023,0.7137117643404579
0.733423025177782,0.3184725565254071,0.11835674622969895,0.7087719298245614,0.42758620689655175,0.3192235068251912,0.30392156862745096,0.7209302325581395,0.7066115702479339,0.7137709014030367,0.30392156862745096,0.9344262295081968,Ceftazidime,LogisticRegression,912,228,285,0.1513157894736842,0.1936692904733263
0.6046883444424429,0.34531361903098046,0.1987284490165702,0.4507462686567164,0.4772727272727273,0.2119404528643859,0.3218390804597701,0.9230769230769231,0.27459016393442626,0.5988335435056746,0.3218390804597701,0.9054054054054054,Ceftriaxone,LogisticRegression,1070,268,335,0.2719626168224299,0.20181123850316368
0.7281385281385282,0.7690275677316497,0.21241617255373912,0.7205882352941176,0.7246376811594203,0.4413674147523748,0.7352941176470589,0.7142857142857143,0.7272727272727273,0.7207792207792207,0.7352941176470589,0.7058823529411765,Cefuroxime,XGBoost,216,54,68,0.5231481481481481,0.44749692445376904
0.7651942529560232,0.4205643472000281,0.12778740197031635,0.6738882554161916,0.46741154562383613,0.3371786494138068,0.3333333333333333,0.7819314641744548,0.6496859734822051,0.71580871882833,0.3333333333333333,0.9300699300699301,Ciprofloxacin,XGBoost,5611,1403,1754,0.1828551060417038,0.13722643225202158
0.5994041170097508,0.27449208972707295,0.1289732580746591,0.5297619047619048,0.3247863247863248,0.1623989221188703,0.2087912087912088,0.7307692307692307,0.49295774647887325,0.6118634886240519,0.2087912087912088,0.9090909090909091,Clarithromycin,RandomForest,534,134,168,0.15543071161048688,0.15123893494648785
0.6377282511895905,0.6492086111783563,0.2281410723303172,0.6229744328411956,0.7044877222692634,0.22963304557505657,0.6162962962962963,0.8221343873517787,0.38284352660841936,0.6024889569800991,0.6162962962962963,0.6409574468085106,Clindamycin,RandomForest,8883,2221,2777,0.5467747382641,0.48172209846406516
0.6281818181818182,0.31537620503333297,0.089720264623588,0.772972972972973,0.3,0.19771751378167882,0.225,0.45,0.8121212121212121,0.6310606060606061,0.225,0.9241379310344827,Daptomycin,XGBoost,589,148,185,0.10865874363327674,0.15023241210565816
0.46502057613168724,0.2539934044503711,0.12774943923671042,0.746031746031746,0.2727272727272727,0.12810252304406972,0.23076923076923078,0.3333333333333333,0.8148148148148148,0.5740740740740741,0.23076923076923078,0.88,Doxycycline,RandomForest,198,50,63,0.14646464646464646,0.2385249874013801
0.9484200283669229,0.6907860993797771,0.02859888247990378,0.9621822690638562,0.7813620071684588,0.76827586100479,0.6942675159235668,0.8934426229508197,0.9678068410462777,0.9306247319985487,0.6942675159235668,0.9910714285714286,Erythromycin,RandomForest,5159,1290,1613,0.07598371777476255,0.18151522875427853
0.474512012012012,0.28428519624064075,0.20726840736127633,0.5354330708661418,0.3854166666666667,0.045552441484780236,0.3135593220338983,0.5,0.55,0.525,0.3135593220338983,0.7279411764705882,Gentamicin,XGBoost,812,204,254,0.29064039408866993,0.2997349245810621
