,precision,recall,f1-score,support
I,0.0,0.0,0.0,102.0
R,0.0,0.0,0.0,68.0
S,0.5893719806763285,1.0,0.7416413373860182,244.0
accuracy,0.5893719806763285,0.5893719806763285,0.5893719806763285,0.5893719806763285
macro avg,0.19645732689210949,0.3333333333333333,0.24721377912867273,414.0
weighted avg,0.34735933160633853,0.5893719806763285,0.43710262396663874,414.0
