,precision,recall,f1-score,support
Non-R,0.9826302729528535,0.9777777777777777,0.9801980198019802,405.0
R,0.18181818181818182,0.2222222222222222,0.2,9.0
accuracy,0.961352657004831,0.961352657004831,0.961352657004831,0.961352657004831
macro avg,0.5822242273855177,0.6,0.5900990099009901,414.0
weighted avg,0.9652213144499259,0.961352657004831,0.9632371932845458,414.0
