,precision,recall,f1-score,support
Non-R,0.943089430894309,0.33429394812680113,0.49361702127659574,347.0
R,0.4076923076923077,0.9578313253012049,0.5719424460431655,166.0
accuracy,0.5360623781676414,0.5360623781676414,0.5360623781676414,0.5360623781676414
macro avg,0.6753908692933084,0.646062636714003,0.5327797336598806,513.0
weighted avg,0.7698420187080863,0.5360623781676414,0.5189620904993063,513.0
