,precision,recall,f1-score,support
Non-R,0.9415204678362573,1.0,0.9698795180722891,483.0
R,0.0,0.0,0.0,30.0
accuracy,0.9415204678362573,0.9415204678362573,0.9415204678362573,0.9415204678362573
macro avg,0.47076023391812866,0.5,0.48493975903614456,513.0
weighted avg,0.8864607913546049,0.9415204678362573,0.9131614176002254,513.0
