,precision,recall,f1-score,support
I,0.0,0.0,0.0,84.0
R,0.0,0.0,0.0,90.0
S,0.6608187134502924,1.0,0.795774647887324,339.0
accuracy,0.6608187134502924,0.6608187134502924,0.6608187134502924,0.6608187134502924
macro avg,0.22027290448343081,0.3333333333333333,0.2652582159624413,513.0
weighted avg,0.43668137204609964,0.6608187134502924,0.5258627790132608,513.0
